nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_2_9,SB,MixedASDwithDelay_5_140,MX,0.9574
SocialBehavioralAutism_2_10,SB,MixedASDwithDelay_5_118,MX,0.9956
SocialBehavioralAutism_2_12,SB,MixedASDwithDelay_3_32,MX,0.9967
SocialBehavioralAutism_2_13,SB,MixedASDwithDelay_3_34,MX,0.6842
SocialBehavioralAutism_2_17,SB,MixedASDwithDelay_1_4,MX,0.9815
SocialBehavioralAutism_2_17,SB,MixedASDwithDelay_2_11,MX,0.883
SocialBehavioralAutism_2_17,SB,MixedASDwithDelay_3_44,MX,0.9979
SocialBehavioralAutism_2_17,SB,MixedASDwithDelay_4_74,MX,0.9757
SocialBehavioralAutism_2_17,SB,MixedASDwithDelay_6_226,MX,0.9862
SocialBehavioralAutism_2_20,SB,MixedASDwithDelay_2_13,MX,0.997
SocialBehavioralAutism_2_20,SB,MixedASDwithDelay_2_14,MX,0.9924
SocialBehavioralAutism_2_20,SB,MixedASDwithDelay_5_138,MX,0.9707
SocialBehavioralAutism_2_20,SB,MixedASDwithDelay_5_141,MX,0.9864
SocialBehavioralAutism_2_20,SB,MixedASDwithDelay_6_231,MX,0.9859
SocialBehavioralAutism_2_21,SB,MixedASDwithDelay_2_18,MX,0.9956
SocialBehavioralAutism_2_22,SB,MixedASDwithDelay_3_27,MX,0.9978
SocialBehavioralAutism_2_23,SB,MixedASDwithDelay_4_59,MX,0.9898
SocialBehavioralAutism_2_23,SB,MixedASDwithDelay_5_129,MX,0.6297
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_1_2,MX,0.8694
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_3_23,MX,0.7774
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_4_100,MX,0.5612
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_5_121,MX,0.9755
SocialBehavioralAutism_3_26,SB,MixedASDwithDelay_4_57,MX,0.901
SocialBehavioralAutism_3_28,SB,MixedASDwithDelay_6_211,MX,0.9966
SocialBehavioralAutism_3_36,SB,MixedASDwithDelay_2_14,MX,0.9946
SocialBehavioralAutism_3_36,SB,MixedASDwithDelay_3_33,MX,0.9646
SocialBehavioralAutism_3_36,SB,MixedASDwithDelay_5_138,MX,0.9748
SocialBehavioralAutism_3_36,SB,MixedASDwithDelay_5_141,MX,0.9886
SocialBehavioralAutism_3_36,SB,MixedASDwithDelay_6_231,MX,0.969
SocialBehavioralAutism_3_39,SB,MixedASDwithDelay_3_20,MX,0.9965
SocialBehavioralAutism_3_39,SB,MixedASDwithDelay_4_59,MX,0.9962
SocialBehavioralAutism_3_40,SB,MixedASDwithDelay_3_24,MX,0.993
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_3_34,MX,0.9974
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_5_129,MX,0.9902
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_5_149,MX,0.5979
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_2_13,MX,0.984
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_2_14,MX,0.6523
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_3_34,MX,0.7679
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_5_138,MX,0.9961
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_5_140,MX,0.945
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_5_141,MX,0.9954
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_5_170,MX,0.9701
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_6_220,MX,0.7603
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_6_231,MX,0.9884
SocialBehavioralAutism_3_45,SB,MixedASDwithDelay_3_39,MX,0.8533
SocialBehavioralAutism_3_45,SB,MixedASDwithDelay_4_70,MX,0.987
SocialBehavioralAutism_3_45,SB,MixedASDwithDelay_4_98,MX,0.9717
SocialBehavioralAutism_3_45,SB,MixedASDwithDelay_5_140,MX,0.9863
SocialBehavioralAutism_3_49,SB,MixedASDwithDelay_1_4,MX,0.5574
SocialBehavioralAutism_3_49,SB,MixedASDwithDelay_3_44,MX,0.9881
SocialBehavioralAutism_3_49,SB,MixedASDwithDelay_4_70,MX,0.9304
SocialBehavioralAutism_3_49,SB,MixedASDwithDelay_4_74,MX,0.9859
SocialBehavioralAutism_3_49,SB,MixedASDwithDelay_4_88,MX,0.8773
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_6_202,MX,0.981
SocialBehavioralAutism_3_51,SB,MixedASDwithDelay_1_2,MX,0.7794
SocialBehavioralAutism_3_55,SB,MixedASDwithDelay_4_63,MX,0.7093
SocialBehavioralAutism_3_57,SB,MixedASDwithDelay_5_110,MX,0.9578
SocialBehavioralAutism_3_57,SB,MixedASDwithDelay_5_149,MX,0.667
SocialBehavioralAutism_3_59,SB,MixedASDwithDelay_3_23,MX,0.9781
SocialBehavioralAutism_3_59,SB,MixedASDwithDelay_3_34,MX,0.7793
SocialBehavioralAutism_3_59,SB,MixedASDwithDelay_5_115,MX,0.6209
SocialBehavioralAutism_3_59,SB,MixedASDwithDelay_5_166,MX,0.623
SocialBehavioralAutism_3_60,SB,MixedASDwithDelay_3_27,MX,0.9763
SocialBehavioralAutism_3_60,SB,MixedASDwithDelay_5_114,MX,0.7871
SocialBehavioralAutism_3_60,SB,MixedASDwithDelay_6_212,MX,0.9744
SocialBehavioralAutism_3_61,SB,MixedASDwithDelay_3_24,MX,0.9976
SocialBehavioralAutism_3_63,SB,MixedASDwithDelay_2_8,MX,0.9869
SocialBehavioralAutism_3_63,SB,MixedASDwithDelay_3_51,MX,0.9949
SocialBehavioralAutism_3_63,SB,MixedASDwithDelay_4_54,MX,0.9957
SocialBehavioralAutism_3_63,SB,MixedASDwithDelay_5_114,MX,0.8387
SocialBehavioralAutism_3_63,SB,MixedASDwithDelay_6_212,MX,0.8544
SocialBehavioralAutism_3_63,SB,MixedASDwithDelay_6_255,MX,0.9978
SocialBehavioralAutism_3_66,SB,MixedASDwithDelay_4_60,MX,0.9385
SocialBehavioralAutism_3_66,SB,MixedASDwithDelay_5_122,MX,0.7648
SocialBehavioralAutism_3_66,SB,MixedASDwithDelay_6_234,MX,0.974
SocialBehavioralAutism_3_66,SB,MixedASDwithDelay_6_239,MX,0.9968
SocialBehavioralAutism_3_66,SB,MixedASDwithDelay_6_253,MX,0.9214
SocialBehavioralAutism_4_71,SB,MixedASDwithDelay_6_222,MX,0.9466
SocialBehavioralAutism_4_72,SB,MixedASDwithDelay_5_103,MX,0.9059
SocialBehavioralAutism_4_73,SB,MixedASDwithDelay_4_54,MX,0.9977
SocialBehavioralAutism_4_73,SB,MixedASDwithDelay_6_251,MX,0.9977
SocialBehavioralAutism_4_73,SB,MixedASDwithDelay_6_255,MX,0.9956
SocialBehavioralAutism_4_80,SB,MixedASDwithDelay_6_220,MX,0.9773
SocialBehavioralAutism_4_83,SB,MixedASDwithDelay_5_179,MX,0.9816
