nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_2_5,SB,MixedASDwithDelay_5_234,MX,0.9632
SocialBehavioralAutism_2_6,SB,MixedASDwithDelay_1_1,MX,0.9458
SocialBehavioralAutism_2_6,SB,MixedASDwithDelay_3_37,MX,0.9786
SocialBehavioralAutism_2_6,SB,MixedASDwithDelay_5_168,MX,0.9946
SocialBehavioralAutism_2_8,SB,MixedASDwithDelay_3_43,MX,0.996
SocialBehavioralAutism_2_8,SB,MixedASDwithDelay_4_87,MX,0.9963
SocialBehavioralAutism_2_8,SB,MixedASDwithDelay_4_89,MX,0.9685
SocialBehavioralAutism_2_9,SB,MixedASDwithDelay_2_14,MX,0.9969
SocialBehavioralAutism_2_9,SB,MixedASDwithDelay_4_107,MX,0.77
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_4_136,MX,0.9961
SocialBehavioralAutism_2_11,SB,MixedASDwithDelay_5_232,MX,0.7423
SocialBehavioralAutism_2_12,SB,MixedASDwithDelay_5_183,MX,0.978
SocialBehavioralAutism_2_19,SB,MixedASDwithDelay_2_20,MX,0.9942
SocialBehavioralAutism_2_19,SB,MixedASDwithDelay_5_188,MX,0.8619
SocialBehavioralAutism_2_19,SB,MixedASDwithDelay_5_217,MX,0.9826
SocialBehavioralAutism_2_20,SB,MixedASDwithDelay_5_201,MX,0.9823
SocialBehavioralAutism_3_21,SB,MixedASDwithDelay_1_1,MX,0.9898
SocialBehavioralAutism_3_21,SB,MixedASDwithDelay_5_168,MX,0.993
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_2_10,MX,0.7559
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_3_39,MX,0.9449
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_3_41,MX,0.7707
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_3_56,MX,0.8295
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_4_88,MX,0.9665
SocialBehavioralAutism_3_26,SB,MixedASDwithDelay_3_41,MX,0.6253
SocialBehavioralAutism_3_26,SB,MixedASDwithDelay_3_51,MX,0.8548
SocialBehavioralAutism_3_26,SB,MixedASDwithDelay_4_88,MX,0.9933
SocialBehavioralAutism_3_29,SB,MixedASDwithDelay_2_10,MX,0.9783
SocialBehavioralAutism_3_29,SB,MixedASDwithDelay_3_40,MX,0.9416
SocialBehavioralAutism_3_29,SB,MixedASDwithDelay_3_48,MX,0.593
SocialBehavioralAutism_3_29,SB,MixedASDwithDelay_3_56,MX,0.9674
SocialBehavioralAutism_3_29,SB,MixedASDwithDelay_5_219,MX,0.9622
SocialBehavioralAutism_3_31,SB,MixedASDwithDelay_2_16,MX,0.7967
SocialBehavioralAutism_3_31,SB,MixedASDwithDelay_3_27,MX,0.9047
SocialBehavioralAutism_3_31,SB,MixedASDwithDelay_4_94,MX,0.8506
SocialBehavioralAutism_3_31,SB,MixedASDwithDelay_5_212,MX,0.8347
SocialBehavioralAutism_3_31,SB,MixedASDwithDelay_5_232,MX,0.8967
SocialBehavioralAutism_3_36,SB,MixedASDwithDelay_2_11,MX,0.5602
SocialBehavioralAutism_3_36,SB,MixedASDwithDelay_5_232,MX,0.9858
SocialBehavioralAutism_3_37,SB,MixedASDwithDelay_4_126,MX,0.8159
SocialBehavioralAutism_3_37,SB,MixedASDwithDelay_5_169,MX,0.9892
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_2_10,MX,0.9823
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_3_44,MX,0.9074
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_3_56,MX,0.9953
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_4_110,MX,0.6181
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_5_219,MX,0.9458
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_4_118,MX,0.8807
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_4_130,MX,0.6132
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_5_165,MX,0.9963
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_5_171,MX,0.9957
SocialBehavioralAutism_3_44,SB,MixedASDwithDelay_5_182,MX,0.7459
SocialBehavioralAutism_3_45,SB,MixedASDwithDelay_3_27,MX,0.9932
SocialBehavioralAutism_3_45,SB,MixedASDwithDelay_3_32,MX,0.9904
SocialBehavioralAutism_3_47,SB,MixedASDwithDelay_2_18,MX,0.9959
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_2_10,MX,0.9965
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_3_44,MX,0.6349
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_3_48,MX,0.5551
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_3_56,MX,0.9823
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_5_219,MX,0.9764
SocialBehavioralAutism_3_54,SB,MixedASDwithDelay_5_242,MX,0.9637
SocialBehavioralAutism_3_55,SB,MixedASDwithDelay_3_34,MX,0.9884
SocialBehavioralAutism_3_55,SB,MixedASDwithDelay_5_180,MX,0.5504
SocialBehavioralAutism_4_58,SB,MixedASDwithDelay_2_16,MX,0.9766
SocialBehavioralAutism_4_58,SB,MixedASDwithDelay_3_27,MX,0.6183
SocialBehavioralAutism_4_61,SB,MixedASDwithDelay_4_88,MX,0.9359
SocialBehavioralAutism_4_61,SB,MixedASDwithDelay_5_219,MX,0.5824
SocialBehavioralAutism_4_63,SB,MixedASDwithDelay_5_169,MX,0.819
SocialBehavioralAutism_4_66,SB,MixedASDwithDelay_3_32,MX,0.9774
SocialBehavioralAutism_4_66,SB,MixedASDwithDelay_4_94,MX,0.9938
SocialBehavioralAutism_4_71,SB,MixedASDwithDelay_2_12,MX,0.956
SocialBehavioralAutism_4_77,SB,MixedASDwithDelay_4_152,MX,0.9947
SocialBehavioralAutism_4_78,SB,MixedASDwithDelay_3_63,MX,0.9917
SocialBehavioralAutism_4_83,SB,MixedASDwithDelay_3_40,MX,0.997
SocialBehavioralAutism_4_83,SB,MixedASDwithDelay_3_44,MX,0.8828
SocialBehavioralAutism_4_83,SB,MixedASDwithDelay_3_48,MX,0.9616
SocialBehavioralAutism_4_83,SB,MixedASDwithDelay_5_178,MX,0.9447
SocialBehavioralAutism_4_84,SB,MixedASDwithDelay_5_201,MX,0.621
SocialBehavioralAutism_4_85,SB,MixedASDwithDelay_5_211,MX,0.9214
SocialBehavioralAutism_4_90,SB,MixedASDwithDelay_4_65,MX,0.9955
SocialBehavioralAutism_4_90,SB,MixedASDwithDelay_4_140,MX,0.606
SocialBehavioralAutism_4_90,SB,MixedASDwithDelay_5_188,MX,0.9233
SocialBehavioralAutism_4_94,SB,MixedASDwithDelay_1_1,MX,0.9967
SocialBehavioralAutism_4_94,SB,MixedASDwithDelay_2_5,MX,0.9002
SocialBehavioralAutism_4_94,SB,MixedASDwithDelay_3_37,MX,0.9976
SocialBehavioralAutism_4_94,SB,MixedASDwithDelay_5_168,MX,0.997
SocialBehavioralAutism_4_97,SB,MixedASDwithDelay_3_54,MX,0.878
SocialBehavioralAutism_4_97,SB,MixedASDwithDelay_4_141,MX,0.9928
SocialBehavioralAutism_4_97,SB,MixedASDwithDelay_4_148,MX,0.9474
SocialBehavioralAutism_4_97,SB,MixedASDwithDelay_5_234,MX,0.995
SocialBehavioralAutism_4_100,SB,MixedASDwithDelay_5_193,MX,0.9949
SocialBehavioralAutism_4_103,SB,MixedASDwithDelay_3_51,MX,0.9073
SocialBehavioralAutism_4_103,SB,MixedASDwithDelay_4_92,MX,0.946
SocialBehavioralAutism_4_103,SB,MixedASDwithDelay_5_169,MX,0.9889
SocialBehavioralAutism_4_105,SB,MixedASDwithDelay_4_65,MX,0.9876
SocialBehavioralAutism_4_105,SB,MixedASDwithDelay_4_116,MX,0.8443
SocialBehavioralAutism_4_105,SB,MixedASDwithDelay_4_140,MX,0.9743
SocialBehavioralAutism_4_108,SB,MixedASDwithDelay_4_132,MX,0.9964
SocialBehavioralAutism_4_112,SB,MixedASDwithDelay_2_10,MX,0.9324
SocialBehavioralAutism_4_112,SB,MixedASDwithDelay_3_39,MX,0.9852
SocialBehavioralAutism_4_112,SB,MixedASDwithDelay_4_88,MX,0.927
SocialBehavioralAutism_4_114,SB,MixedASDwithDelay_3_25,MX,0.5961
SocialBehavioralAutism_4_122,SB,MixedASDwithDelay_4_90,MX,0.9976
SocialBehavioralAutism_4_122,SB,MixedASDwithDelay_5_197,MX,0.7366
SocialBehavioralAutism_4_124,SB,MixedASDwithDelay_3_35,MX,0.5866
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_1_4,MX,0.9874
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_2_11,MX,0.9981
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_4_136,MX,0.9693
SocialBehavioralAutism_4_127,SB,MixedASDwithDelay_3_38,MX,0.642
SocialBehavioralAutism_4_127,SB,MixedASDwithDelay_3_56,MX,0.7792
SocialBehavioralAutism_4_127,SB,MixedASDwithDelay_4_82,MX,0.9681
SocialBehavioralAutism_4_128,SB,MixedASDwithDelay_4_87,MX,0.9852
SocialBehavioralAutism_4_128,SB,MixedASDwithDelay_4_89,MX,0.9218
SocialBehavioralAutism_4_130,SB,MixedASDwithDelay_4_92,MX,0.5626
SocialBehavioralAutism_4_130,SB,MixedASDwithDelay_5_169,MX,0.6471
SocialBehavioralAutism_4_131,SB,MixedASDwithDelay_5_183,MX,0.9881
SocialBehavioralAutism_4_135,SB,MixedASDwithDelay_3_63,MX,0.8325
SocialBehavioralAutism_4_135,SB,MixedASDwithDelay_4_69,MX,0.9929
SocialBehavioralAutism_4_138,SB,MixedASDwithDelay_3_43,MX,0.996
SocialBehavioralAutism_4_138,SB,MixedASDwithDelay_4_89,MX,0.9894
SocialBehavioralAutism_5_142,SB,MixedASDwithDelay_3_39,MX,0.9977
SocialBehavioralAutism_5_142,SB,MixedASDwithDelay_3_63,MX,0.9296
SocialBehavioralAutism_5_142,SB,MixedASDwithDelay_4_94,MX,0.9968
SocialBehavioralAutism_4_148,SB,MixedASDwithDelay_5_183,MX,0.9835
SocialBehavioralAutism_4_153,SB,MixedASDwithDelay_5_197,MX,0.8492
SocialBehavioralAutism_4_153,SB,MixedASDwithDelay_5_232,MX,0.9108
SocialBehavioralAutism_4_155,SB,MixedASDwithDelay_2_16,MX,0.9974
SocialBehavioralAutism_4_155,SB,MixedASDwithDelay_4_94,MX,0.9862
SocialBehavioralAutism_5_162,SB,MixedASDwithDelay_3_39,MX,0.9947
SocialBehavioralAutism_5_162,SB,MixedASDwithDelay_4_88,MX,0.9711
SocialBehavioralAutism_5_162,SB,MixedASDwithDelay_5_232,MX,0.753
SocialBehavioralAutism_5_164,SB,MixedASDwithDelay_4_136,MX,0.9796
SocialBehavioralAutism_5_164,SB,MixedASDwithDelay_5_241,MX,0.9335
SocialBehavioralAutism_5_169,SB,MixedASDwithDelay_4_121,MX,0.9881
SocialBehavioralAutism_5_171,SB,MixedASDwithDelay_0_0,MX,0.746
SocialBehavioralAutism_5_172,SB,MixedASDwithDelay_5_212,MX,0.9766
SocialBehavioralAutism_5_174,SB,MixedASDwithDelay_2_8,MX,0.9934
SocialBehavioralAutism_5_174,SB,MixedASDwithDelay_2_13,MX,0.9734
SocialBehavioralAutism_5_180,SB,MixedASDwithDelay_5_197,MX,0.7713
SocialBehavioralAutism_5_185,SB,MixedASDwithDelay_3_39,MX,0.8867
SocialBehavioralAutism_5_185,SB,MixedASDwithDelay_5_173,MX,0.9502
SocialBehavioralAutism_5_191,SB,MixedASDwithDelay_0_0,MX,0.7683
SocialBehavioralAutism_5_194,SB,MixedASDwithDelay_3_57,MX,0.8076
SocialBehavioralAutism_5_194,SB,MixedASDwithDelay_4_118,MX,0.9849
SocialBehavioralAutism_5_194,SB,MixedASDwithDelay_4_130,MX,0.9549
SocialBehavioralAutism_5_195,SB,MixedASDwithDelay_2_13,MX,0.9969
SocialBehavioralAutism_5_195,SB,MixedASDwithDelay_3_22,MX,0.9366
SocialBehavioralAutism_5_195,SB,MixedASDwithDelay_4_141,MX,0.9919
SocialBehavioralAutism_5_195,SB,MixedASDwithDelay_4_148,MX,0.87
SocialBehavioralAutism_5_195,SB,MixedASDwithDelay_5_166,MX,0.7616
SocialBehavioralAutism_5_195,SB,MixedASDwithDelay_5_234,MX,0.992
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_2_13,MX,0.8438
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_3_34,MX,0.9954
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_5_166,MX,0.9776
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_5_180,MX,0.8668
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_2_11,MX,0.9573
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_3_39,MX,0.5754
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_4_100,MX,0.5927
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_4_136,MX,0.9908
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_5_232,MX,0.5986
SocialBehavioralAutism_5_207,SB,MixedASDwithDelay_3_39,MX,0.9692
SocialBehavioralAutism_5_207,SB,MixedASDwithDelay_4_94,MX,0.9878
SocialBehavioralAutism_5_211,SB,MixedASDwithDelay_3_46,MX,0.9973
SocialBehavioralAutism_5_211,SB,MixedASDwithDelay_4_83,MX,0.9699
SocialBehavioralAutism_5_214,SB,MixedASDwithDelay_4_118,MX,0.9809
SocialBehavioralAutism_5_214,SB,MixedASDwithDelay_4_130,MX,0.8318
SocialBehavioralAutism_5_214,SB,MixedASDwithDelay_5_165,MX,0.9974
SocialBehavioralAutism_5_214,SB,MixedASDwithDelay_5_171,MX,0.9957
SocialBehavioralAutism_5_214,SB,MixedASDwithDelay_5_182,MX,0.9843
SocialBehavioralAutism_5_217,SB,MixedASDwithDelay_5_165,MX,0.9061
SocialBehavioralAutism_5_217,SB,MixedASDwithDelay_5_171,MX,0.9646
SocialBehavioralAutism_5_219,SB,MixedASDwithDelay_2_10,MX,0.5998
SocialBehavioralAutism_5_219,SB,MixedASDwithDelay_3_38,MX,0.9317
SocialBehavioralAutism_5_219,SB,MixedASDwithDelay_3_44,MX,0.9365
SocialBehavioralAutism_5_219,SB,MixedASDwithDelay_3_48,MX,0.9693
