nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_3_24,SB,MixedASDwithDelay_9_256,MX,0.9799
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_2_14,MX,0.9894
SocialBehavioralAutism_3_25,SB,MixedASDwithDelay_5_80,MX,0.9898
SocialBehavioralAutism_3_26,SB,MixedASDwithDelay_8_189,MX,0.9971
SocialBehavioralAutism_3_30,SB,MixedASDwithDelay_5_73,MX,0.9631
SocialBehavioralAutism_3_31,SB,MixedASDwithDelay_9_264,MX,0.9874
SocialBehavioralAutism_3_38,SB,MixedASDwithDelay_2_14,MX,0.9829
SocialBehavioralAutism_3_38,SB,MixedASDwithDelay_3_20,MX,0.9893
SocialBehavioralAutism_3_38,SB,MixedASDwithDelay_3_32,MX,0.9364
SocialBehavioralAutism_3_38,SB,MixedASDwithDelay_5_97,MX,0.9984
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_1_1,MX,0.5539
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_2_6,MX,0.9955
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_2_9,MX,0.9849
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_2_14,MX,0.9867
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_3_25,MX,0.5588
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_5_80,MX,0.9895
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_7_140,MX,0.9914
SocialBehavioralAutism_3_41,SB,MixedASDwithDelay_8_219,MX,0.6951
SocialBehavioralAutism_3_43,SB,MixedASDwithDelay_8_219,MX,0.5616
SocialBehavioralAutism_3_47,SB,MixedASDwithDelay_4_48,MX,0.997
SocialBehavioralAutism_3_49,SB,MixedASDwithDelay_5_69,MX,0.9809
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_7_140,MX,0.9811
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_7_161,MX,0.9306
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_8_187,MX,0.7421
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_8_219,MX,0.9651
SocialBehavioralAutism_3_50,SB,MixedASDwithDelay_10_322,MX,0.845
SocialBehavioralAutism_4_55,SB,MixedASDwithDelay_4_65,MX,0.9972
SocialBehavioralAutism_4_56,SB,MixedASDwithDelay_4_52,MX,0.9887
SocialBehavioralAutism_4_56,SB,MixedASDwithDelay_8_191,MX,0.9944
SocialBehavioralAutism_4_59,SB,MixedASDwithDelay_8_189,MX,0.9924
SocialBehavioralAutism_4_60,SB,MixedASDwithDelay_4_51,MX,0.6184
SocialBehavioralAutism_4_60,SB,MixedASDwithDelay_9_279,MX,0.6509
SocialBehavioralAutism_4_62,SB,MixedASDwithDelay_9_258,MX,0.9946
SocialBehavioralAutism_4_62,SB,MixedASDwithDelay_9_259,MX,0.9489
SocialBehavioralAutism_4_64,SB,MixedASDwithDelay_9_243,MX,0.9851
SocialBehavioralAutism_4_65,SB,MixedASDwithDelay_2_13,MX,0.7886
SocialBehavioralAutism_4_65,SB,MixedASDwithDelay_9_252,MX,0.9867
SocialBehavioralAutism_4_66,SB,MixedASDwithDelay_8_228,MX,0.9919
SocialBehavioralAutism_4_66,SB,MixedASDwithDelay_10_329,MX,0.6804
SocialBehavioralAutism_4_67,SB,MixedASDwithDelay_2_14,MX,0.5952
SocialBehavioralAutism_4_67,SB,MixedASDwithDelay_3_32,MX,0.9639
SocialBehavioralAutism_4_67,SB,MixedASDwithDelay_5_97,MX,0.9965
SocialBehavioralAutism_4_68,SB,MixedASDwithDelay_7_161,MX,0.8381
SocialBehavioralAutism_4_71,SB,MixedASDwithDelay_6_124,MX,0.9913
SocialBehavioralAutism_4_71,SB,MixedASDwithDelay_8_229,MX,0.9921
SocialBehavioralAutism_4_72,SB,MixedASDwithDelay_6_121,MX,0.8626
SocialBehavioralAutism_4_78,SB,MixedASDwithDelay_5_69,MX,0.8441
