nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
NeurotypicalCognition_2_11,NT,BroadlyAffectedAutism_4_69,BR,0.5641
NeurotypicalCognition_2_19,NT,BroadlyAffectedAutism_3_23,BR,0.5854
NeurotypicalCognition_3_21,NT,BroadlyAffectedAutism_0_0,BR,0.5789
NeurotypicalCognition_3_21,NT,BroadlyAffectedAutism_3_20,BR,0.6095
NeurotypicalCognition_3_21,NT,BroadlyAffectedAutism_5_111,BR,0.9663
NeurotypicalCognition_3_43,NT,BroadlyAffectedAutism_4_101,BR,0.9454
NeurotypicalCognition_3_43,NT,BroadlyAffectedAutism_5_137,BR,0.9766
NeurotypicalCognition_4_59,NT,BroadlyAffectedAutism_0_0,BR,0.7237
NeurotypicalCognition_4_72,NT,BroadlyAffectedAutism_2_13,BR,0.6579
NeurotypicalCognition_5_121,NT,BroadlyAffectedAutism_3_49,BR,0.9864
NeurotypicalCognition_5_124,NT,BroadlyAffectedAutism_5_146,BR,0.7311
NeurotypicalCognition_5_131,NT,BroadlyAffectedAutism_5_146,BR,0.9822
NeurotypicalCognition_5_131,NT,BroadlyAffectedAutism_5_191,BR,0.5839
NeurotypicalCognition_5_134,NT,BroadlyAffectedAutism_5_111,BR,0.6996
NeurotypicalCognition_6_151,NT,BroadlyAffectedAutism_4_63,BR,0.8789
NeurotypicalCognition_5_162,NT,BroadlyAffectedAutism_5_130,BR,0.9628
NeurotypicalCognition_6_176,NT,BroadlyAffectedAutism_3_49,BR,0.9538
NeurotypicalCognition_6_181,NT,BroadlyAffectedAutism_5_111,BR,0.8917
NeurotypicalCognition_6_193,NT,BroadlyAffectedAutism_3_46,BR,0.8956
NeurotypicalCognition_7_207,NT,BroadlyAffectedAutism_4_69,BR,0.8797
NeurotypicalCognition_6_212,NT,BroadlyAffectedAutism_5_111,BR,0.6238
NeurotypicalCognition_6_213,NT,BroadlyAffectedAutism_4_65,BR,0.9344
NeurotypicalCognition_6_244,NT,BroadlyAffectedAutism_1_1,BR,0.9572
NeurotypicalCognition_6_249,NT,BroadlyAffectedAutism_5_192,BR,0.9916
NeurotypicalCognition_6_261,NT,BroadlyAffectedAutism_5_111,BR,0.9556
SocialBehavioralAutism_1_1,SB,MixedASDwithDelay_4_72,MX,0.9967
SocialBehavioralAutism_1_1,SB,MixedASDwithDelay_5_103,MX,0.984
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_3_16,MX,0.9954
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_6_189,MX,0.615
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_6_195,MX,0.9331
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_6_198,MX,0.9858
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_6_204,MX,0.8796
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_6_205,MX,0.9509
SocialBehavioralAutism_1_2,SB,MixedASDwithDelay_6_212,MX,0.9905
SocialBehavioralAutism_1_4,SB,MixedASDwithDelay_5_155,MX,0.5975
SocialBehavioralAutism_2_5,SB,MixedASDwithDelay_2_5,MX,0.9933
SocialBehavioralAutism_2_5,SB,MixedASDwithDelay_4_39,MX,0.6724
SocialBehavioralAutism_2_5,SB,MixedASDwithDelay_5_155,MX,0.8939
SocialBehavioralAutism_2_5,SB,MixedASDwithDelay_6_189,MX,0.983
SocialBehavioralAutism_2_5,SB,MixedASDwithDelay_6_195,MX,0.9733
SocialBehavioralAutism_2_6,SB,MixedASDwithDelay_4_42,MX,0.8483
SocialBehavioralAutism_2_6,SB,MixedASDwithDelay_6_198,MX,0.935
SocialBehavioralAutism_2_7,SB,MixedASDwithDelay_1_3,MX,0.9975
SocialBehavioralAutism_2_7,SB,MixedASDwithDelay_3_32,MX,0.9627
SocialBehavioralAutism_2_8,SB,MixedASDwithDelay_1_1,MX,0.9715
SocialBehavioralAutism_2_8,SB,MixedASDwithDelay_4_66,MX,0.9539
SocialBehavioralAutism_2_8,SB,MixedASDwithDelay_4_72,MX,0.9566
SocialBehavioralAutism_3_18,SB,MixedASDwithDelay_4_46,MX,0.6547
SocialBehavioralAutism_3_18,SB,MixedASDwithDelay_4_58,MX,0.9933
